Date,Open,High,Low,Close,Volume
2023-01-01,150,155,148,152,1000000
2023-01-02,152,158,150,155,1100000
2023-01-03,155,160,153,158,1200000
2023-01-04,158,162,156,160,1250000
2023-01-05,160,165,158,162,1300000
2023-01-06,162,168,160,165,1350000
2023-01-07,165,170,163,168,1400000
2023-01-08,168,172,165,170,1450000
2023-01-09,170,175,168,173,1500000
2023-01-10,173,178,170,176,1550000
2023-01-11,176,180,174,178,1600000
2023-01-12,178,183,176,181,1650000
2023-01-13,181,185,179,183,1700000
2023-01-14,183,188,181,186,1750000
2023-01-15,186,190,184,188,1800000
2023-01-16,188,193,186,191,1850000
2023-01-17,191,195,189,193,1900000
2023-01-18,193,198,191,196,1950000
2023-01-19,196,200,194,198,2000000
2023-01-20,198,203,196,201,2050000
